Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000120046,AVB Açailândia steel plant,Aco Verde do Brasil SA,E100000130886,Grupo Ferroeste,E100001016289,Maranhão,Brazil,Central & South America,10,2015,3000,operating,600,-4.874373,-47.4073517,POINT (-5277362.251101633 -543268.4392322415),64633.832128563045,23.625,68.20833333,13274.539,11.077
P100000120039,CSN Volta Redonda steel plant,Companhia Siderúrgica Nacional SA,E100001000652,Companhia Siderúrgica Nacional SA [100.0%],E100001000652 [100.0%],Rio de Janeiro,Brazil,Central & South America,79,1946,20000,operating,6251,-22.512631,-44.11287,POINT (-4910622.225829874 -2573185.0429009707),64633.832128563045,23.625,68.20833333,13573.027,11.077
P100000120033,Gerdau Açominas Ouro Branco steel plant,Gerdau Acominas SA,E100001010278,Gerdau SA [100.0%],E100001010270 [100.0%],Minas Gerais,Brazil,Central & South America,39,1986,8500,operating,4360,-20.543507,-43.75295,POINT (-4870556.114703558 -2337529.1684470987),64633.832128563045,23.625,68.20833333,13445.94,11.077
P100000120042,Gerdau Cosigua Santa Cruz steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],Rio de Janeiro,Brazil,Central & South America,54,1971,1500,operating,936,-22.90242,-43.749319,POINT (-4870151.913632488 -2620222.2449543625),64633.832128563045,23.625,68.20833333,13554.176,11.077
P100000120047,Gerdau Divinópolis steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],Minas Gerais,Brazil,Central & South America,72,1953,920,operating,600,-20.153931,-44.878995,POINT (-4995906.870713871 -2291275.1104479115),64633.832128563045,23.625,68.20833333,13545.074,11.077
P100000120055,Gerdau Pindamonhangaba steel plant,Gerdau SA,E100001010270,Gerdau SA [100.0%],E100001010270 [100.0%],São Paulo,Brazil,Central & South America,45,1980,2500,operating,530,-22.89918,-45.347726,POINT (-5048085.766952893 -2619830.7089233063),64633.832128563045,23.625,68.20833333,13717.812,11.077
P100000120048,Gerdau São Paulo Araçariguama steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],São Paulo,Brazil,Central & South America,19,2006,370,operating,950,-23.43864,-47.08825,POINT (-5241840.012346365 -2685151.623837084),64633.832128563045,23.625,68.20833333,13921.734,11.077
P100000120052,Simec Cariacica steel plant,GV do Brasil Industria e Comercio de Aço Ltda,E100000130990,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],Espírito Santo,Brazil,Central & South America,83,1942,579,operating,600,-20.34291,-40.360864,POINT (-4492950.828456567 -2313697.875864374),64633.832128563045,23.625,68.20833333,13087.529,11.077
P100000120051,Simec Pindamonhangaba steel plant,GV do Brasil Industria e Comercio de Aço Ltda,E100000130990,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],São Paulo,Brazil,Central & South America,10,2015,480,operating,500,-22.921912,-45.413234,POINT (-5055378.084155778 -2622577.942520576),64633.832128563045,23.625,68.20833333,13725.599,11.077
P100000121176,Sinobras Marabá steel plant,Siderurgica Norte Brasil SA,E100001012180,WMA Participacoes SA [80.0%]; Aço Cearense Industrial Ltda [20.0%],E100001012181 [80.0%]; E100001012182 [20.0%],Pará,Brazil,Central & South America,18,2007,1300,operating,475,-5.414287,-49.081305,POINT (-5463705.880069352 -603614.6921141893),64633.832128563045,23.625,68.20833333,13469.994,11.077
