Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude,Longitude
P100000120172,Baowu Group Echeng Iron and Steel Co Ltd,Baowu Group Echeng Iron & Steel Co Ltd,E100000123229,China Baowu Steel Group Co Ltd [75.0%]; Guangdong Guangwu Holding Group Co Ltd [25.0%],E100001000472 [75.0%]; E100000123746 [25.0%],Hubei,China,Asia Pacific,67,1958,6063,operating,4276,30.39574,114.861313
P100000120223,Bengang Steel Plates Co Ltd,Bengang Steel Plates Co Ltd,E100000122467,Bengang Steel Plates Co Ltd [100.0%],E100000122467 [100.0%],Liaoning,China,Asia Pacific,28,,17044,operating,12400,41.274132,123.722099
P100000120224,Benxi Beiying Iron and Steel Group Co Ltd Beitai Town,Benxi Beiying Iron & Steel (GROUP) Co Ltd,E100000123156,Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],E100000124667 [46.5%]; E100000123998 [27.7%]; E100000124666 [8.2%]; E100000123999 [7.0%]; E100000132388 [6.4%]; E100000000155 [2.9%]; E100000125132 [1.3%],Liaoning,China,Asia Pacific,23,,18675,operating,2600,41.224814,123.608374
P100000120125,Cangzhou China Railway Equipment Manufacture Material Co Ltd,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,E100000126465,China Railway Materials Group Holdings Ltd [49.0%]; Shuangyao Investment Co Ltd [25.0%]; Hebei Xinhua United Metallurgical Holding Group Co Ltd [15.6%]; Sinogiant Steel HOLDINGS Group Ltd [9.4%]; unknown [1.0%],E100000130609 [49.0%]; E100000130610 [25.0%]; E100000128544 [15.6%]; E100000128537 [9.4%]; E100000132388 [1.0%],Hebei,China,Asia Pacific,19,2006,9333,operating,7500,38.289221,117.814367
P100000120194,Changshu Longteng Special Steel Co Ltd,Changshu Longteng Special Steel Co Ltd,E100000126408,Changshu Longteng Special Steel Co Ltd [100.0%],E100000126408 [100.0%],Jiangsu,China,Asia Pacific,31,,3469,operating,2213,31.723833,120.835685
P100000120265,Changzhi Xingbao Steel Co Ltd,Lucheng Xingbao Iron & Steel Co Ltd,E100000127287,Lucheng Xingbao Iron & Steel Co Ltd [100.0%],E100000127287 [100.0%],Shanxi,China,Asia Pacific,22,,1154,operating,1900,36.332449,113.15509
P100000120201,Changzhou Eastern Special Steel Co Ltd,Changzhou Dongfang Special Steel Co Ltd,E100000126487,Changzhou Dongrun Special Steel Co Ltd [90.0%]; natural person(s) [10.0%],E100000127958 [90.0%]; E100000123261 [10.0%],Jiangsu,China,Asia Pacific,16,,2589,operating,360,31.602554,119.724256
P100000120105,Chengde Iron and Steel Group Co Ltd,Chengde Street Ltd,E100000126296,HBIS Group Co Ltd [100.0%],E100000124529 [100.0%],Hebei,China,Asia Pacific,71,1954,12588,operating,8000,40.947707,117.719747
P100000120123,Chengde Jianlong Special Steel Co Ltd,Chengde Jianlong SPECIAL Steel Co Ltd,E100000126323,Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],E100000000155 [90.2%]; E100000132388 [9.8%],Hebei,China,Asia Pacific,24,2001,3897,operating,4400,40.515035,117.596071
P100000120329,Chengdu Changfeng Iron and Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd,E100000126710,Chengdu Changfeng Steel Group Co Ltd [100.0%],E100000126710 [100.0%],Sichuan,China,Asia Pacific,55,1970,1020,operating,500,31.031921,103.672956
