Plant ID,Workforce size,Nominal crude steel capacity (ttpa),ISO 14001,ISO 50001,ResponsibleSteel Certification,Year,Crude steel production (ttpa),Plant Age,Capacity per Worker (ttpa per worker),Certification score,Avg_Annual_Growth,Growth_Volatility,Asia Pacific,Central & South America,Eurasia,Europe,Middle East,North America
P100000120220,0.015444079900535044,1.2544090181885188,0,0,0,2019,0.4999680955866064,-0.8477643538940257,0.011189297130624715,-1.634596365135462,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120220,0.015444079900535044,1.2544090181885188,0,0,0,2020,0.4999680955866064,-0.8226157404991367,0.011189297130624715,-1.634596365135462,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120220,0.015444079900535044,1.2544090181885188,0,0,0,2021,0.4999680955866064,-0.7974671271042477,0.011189297130624715,-1.634596365135462,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120220,0.015444079900535044,1.2544090181885188,0,0,0,2022,0.4999680955866064,-0.7723185137093587,0.011189297130624715,-1.634596365135462,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120220,0.015444079900535044,1.2544090181885188,0,0,0,2023,0.4999680955866064,-0.7471699003144697,0.011189297130624715,-1.634596365135462,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120221,-0.3797025112535479,-0.2949858430292583,1,1,0,2019,-0.11987944752989274,-0.8729129672889147,-0.20175583746991418,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120221,-0.3797025112535479,-0.2949858430292583,1,1,0,2020,-0.11987944752989274,-0.8477643538940257,-0.20175583746991418,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120221,-0.3797025112535479,-0.2949858430292583,1,1,0,2021,-0.11987944752989274,-0.8226157404991367,-0.20175583746991418,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120221,-0.3797025112535479,-0.2949858430292583,1,1,0,2022,-0.11987944752989274,-0.7974671271042477,-0.20175583746991418,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120221,-0.3797025112535479,-0.2949858430292583,1,1,0,2023,-0.11987944752989274,-0.7723185137093587,-0.20175583746991418,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120222,-0.6812411809621286,0.6805590695893421,1,1,0,2019,0.6232799410341858,-0.7471699003144697,2.3572998987706772,0.9364525377264761,-0.14136820481750378,-0.3067056543522313,True,False,False,False,False,False
P100000120222,-0.6812411809621286,0.6805590695893421,1,1,0,2020,0.684113784788325,-0.7220212869195807,2.3572998987706772,0.9364525377264761,-0.14136820481750378,-0.3067056543522313,True,False,False,False,False,False
P100000120222,-0.6812411809621286,0.6805590695893421,1,1,0,2021,0.7449476285424641,-0.6968726735246917,2.3572998987706772,0.9364525377264761,-0.14136820481750378,-0.3067056543522313,True,False,False,False,False,False
P100000120222,-0.6812411809621286,0.6805590695893421,1,1,0,2022,0.684113784788325,-0.6717240601298027,2.3572998987706772,0.9364525377264761,-0.14136820481750378,-0.3067056543522313,True,False,False,False,False,False
P100000120222,-0.6812411809621286,0.6805590695893421,1,1,0,2023,0.684113784788325,-0.6465754467349137,2.3572998987706772,0.9364525377264761,-0.14136820481750378,-0.3067056543522313,True,False,False,False,False,False
P100000120223,2.5504794807169366,2.660341392256502,1,1,0,2019,1.2655702400221445,-0.6214268333400247,-0.2790874261806891,0.9364525377264761,-0.16722539369297512,-0.3180753666162376,True,False,False,False,False,False
P100000120223,2.5504794807169366,2.660341392256502,1,1,0,2020,1.2655702400221445,-0.5962782199451357,-0.2790874261806891,0.9364525377264761,-0.16722539369297512,-0.3180753666162376,True,False,False,False,False,False
P100000120223,2.5504794807169366,2.660341392256502,1,1,0,2021,1.2655702400221445,-0.5711296065502467,-0.2790874261806891,0.9364525377264761,-0.16722539369297512,-0.3180753666162376,True,False,False,False,False,False
P100000120223,2.5504794807169366,2.660341392256502,1,1,0,2022,1.2056406831346207,-0.5459809931553578,-0.2790874261806891,0.9364525377264761,-0.16722539369297512,-0.3180753666162376,True,False,False,False,False,False
P100000120223,2.5504794807169366,2.660341392256502,1,1,0,2023,1.325499796909668,-0.5208323797604687,-0.2790874261806891,0.9364525377264761,-0.16722539369297512,-0.3180753666162376,True,False,False,False,False,False
P100000120224,2.86921543035705,-0.1515233558794641,1,1,0,2019,0.6209781199191643,-0.7471699003144697,-0.4323392815092869,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120224,2.86921543035705,-0.1515233558794641,1,1,0,2020,0.6209781199191643,-0.7220212869195807,-0.4323392815092869,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120224,2.86921543035705,-0.1515233558794641,1,1,0,2021,0.6209781199191643,-0.6968726735246917,-0.4323392815092869,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120224,2.86921543035705,-0.1515233558794641,1,1,0,2022,0.6209781199191643,-0.6717240601298027,-0.4323392815092869,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120224,2.86921543035705,-0.1515233558794641,1,1,0,2023,0.6209781199191643,-0.6465754467349137,-0.4323392815092869,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120225,0.4805523325942628,0.8223000068933387,1,0,0,2019,0.4414360729474887,-0.5459809931553578,-0.22660101461757126,-0.3490719137044929,-0.3228625854293824,-0.2761261364732129,True,False,False,False,False,False
P100000120225,0.4805523325942628,0.8223000068933387,1,0,0,2020,0.42598098831805875,-0.5208323797604687,-0.22660101461757126,-0.3490719137044929,-0.3228625854293824,-0.2761261364732129,True,False,False,False,False,False
P100000120225,0.4805523325942628,0.8223000068933387,1,0,0,2021,0.3841371687628468,-0.4956837663655797,-0.22660101461757126,-0.3490719137044929,-0.3228625854293824,-0.2761261364732129,True,False,False,False,False,False
P100000120225,0.4805523325942628,0.8223000068933387,1,0,0,2022,0.30941019042161366,-0.4705351529706907,-0.22660101461757126,-0.3490719137044929,-0.3228625854293824,-0.2761261364732129,True,False,False,False,False,False
P100000120225,0.4805523325942628,0.8223000068933387,1,0,0,2023,0.3597214233642261,-0.4453865395758017,-0.22660101461757126,-0.3490719137044929,-0.3228625854293824,-0.2761261364732129,True,False,False,False,False,False
P100000120226,0.2818064952037077,-0.12283085844950527,1,1,0,2019,0.11227565349941675,-0.8226157404991367,-0.33919679609284475,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120226,0.2818064952037077,-0.12283085844950527,1,1,0,2020,0.11227565349941675,-0.7974671271042477,-0.33919679609284475,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120226,0.2818064952037077,-0.12283085844950527,1,1,0,2021,0.11227565349941675,-0.7723185137093587,-0.33919679609284475,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120226,0.2818064952037077,-0.12283085844950527,1,1,0,2022,0.11227565349941675,-0.7471699003144697,-0.33919679609284475,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120226,0.2818064952037077,-0.12283085844950527,1,1,0,2023,0.11227565349941675,-0.7220212869195807,-0.33919679609284475,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120228,0.45905573267984684,-0.6108902397331051,1,1,0,2019,-0.4319406244092337,0.8874899703533152,-0.4275727751522324,0.9364525377264761,-0.02511321636918857,-0.28200096195353946,True,False,False,False,False,False
